C000001	AA_DNA_MUTATION_SIGNATURE
C000002	AA_SIGNATURE_NON_NORMALIZED
C000003	AA_SIGNATURE_NORMALIZED
C000004	ABDOMINAL_DISTENSION
C000005	ABDOMINAL_MASS_WEEKS
C000006	ABDOMINAL_PAIN_WEEKS
C000007	ABERRANT_CELL_FRACTION
C000008	ABI_ENZA_EXPOSURE_STATUS
C000009	ABLATION_EMBOLIZATION_TX_ADJUVANT
C000010	ABNORMAL_LYMPHOCYTE_PERCENT
C000011	ABSOLUTE_CANCER_DNA_FRACTION
C000012	ABSOLUTE_EXTRACT_PLOIDY
C000013	ABSOLUTE_EXTRACT_PURITY
C000014	ABSOLUTE_GENOME_DOUBLINGS
C000015	ABS_NEUTROPHIL_VALUE
C000016	ACCESSION_OUT
C000017	ACGH_DATA
C000018	ACGH_TUMOR_TYPE
C000019	ACHIEVED_RESECTION
C000020	ACTIONABLE_ALTERATIONS
C000021	ACTIONABLE_ALT_LEVEL
C000022	ADDITIONAL_NOTES
C000023	ADDITIONAL_RX_TX
C000024	ADDITIONAL_SAMPLE
C000025	ADDITIONAL_SURGERY_FOR_NEW_TUMOR_EVENT
C000026	ADDITIONAL_TREATMENT_FOR_NEW_TUMOR_EVENT_PHARMACEUTICAL
C000027	ADDITIONAL_TREATMENT_FOR_NEW_TUMOR_EVENT_RADIATION
C000028	ADIPOSE_TISSUE_PERCENTAGE
C000029	ADJUVANT_CHEMO
C000030	ADJUVANT_CT
C000031	ADJUVANT_FOLFOX_METACHRONOUS_METS
C000032	ADJUVANT_HAIP
C000033	ADJUVANT_HORMONE_THERAPY
C000034	ADJUVANT_NEOADJ_IMATINIB
C000035	ADJUVANT_TX
C000036	ADJ_RT_AFTER_FIRST_SURGERY
C000037	ADJ_TX_AFTER_FIRST_SURGERY
C000038	ADJ_XRT
C000039	ADMINISTRATION_OF_DRUG_WEEKS
C000040	AE1
C000041	AE1_AE3_STAIN
C000042	AFB1_SIGNATURE_NON_NORMALIZED
C000043	AFB1_SIGNATURE_NORMALIZED
C000044	AFP_AT_PROCUREMENT
C000045	AFP_NORM_RANGE_LOWER
C000046	AFP_NORM_RANGE_UPPER
C000047	AGE
C000048	AGENT
C000049	AGE_AT_BIRTH_OF_FIRST_CHILD
C000050	AGE_AT_BMI_MEASUREMENT
C000051	AGE_AT_DEATH
C000052	AGE_AT_DIAGNOSIS
C000053	AGE_AT_DIAGNOSIS_GROUP
C000054	AGE_AT_INITIAL_DIAGNOSIS
C000055	AGE_AT_INITIAL_PATHOLOGIC_DIAGNOSIS
C000056	AGE_AT_LAST_FOLLOWUP
C000057	AGE_AT_PROCEDURE
C000058	AGE_AT_PROCUREMENT
C000059	AGE_AT_RELAPSE
C000060	AGE_AT_SEQ_REPORT
C000061	AGE_AT_SURGERY
C000062	AGE_CELL_LINE_YEAR
C000063	AGE_CLASS
C000064	AGE_CURRENT
C000065	AGE_FUDR_START
C000066	AGE_GROUP
C000067	AGE_IN_DAYS
C000068	AGE_REGISTRATION
C000069	AGE_TESTING_YEARS
C000070	AJCC_CLINICAL_TUMOR_STAGE
C000071	AJCC_INCIDENTAL_PROSTATE_CANCER
C000072	AJCC_METASTASIS_CLINICAL_CM
C000073	AJCC_METASTASIS_PATHOLOGIC_PM
C000074	AJCC_NODES_CLINICAL_CN
C000075	AJCC_NODES_CLINICAL_CT
C000076	AJCC_NODES_PATHOLOGIC_PN
C000077	AJCC_PATHOLOGIC_TUMOR_STAGE
